,id,is_claimed,is_closed,review_count,rating,Restaurant Category 1,Restaurant Category 2,Restaurant Category 3,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Zip Code,Opening Time,Closing Time,Has Messaging
321,ASiLlqytNkpY-ilT0rPH3A,True,False,1,5.0,sandwiches,hotdogs,delis,0,0,0,,3,Frisco,TX,75034,1000,2100,1
322,cnVsj6X0SCg7gzsm1G3D-Q,True,False,1,5.0,cafes,,,0,0,0,,0,Frisco,TX,75034,0700,1600,0
323,PqxMYBUi_KMvN5PPHe4_GQ,False,False,1034,4.0,chickenshop,,,0,1,0,Medium,3,Frisco,TX,75034,1100,1400,0
324,W5xgQQBtYJnt75Da8c0ZKg,True,False,716,4.0,tradamerican,coffee,breakfast_brunch,1,1,0,Medium,3,Frisco,TX,75034,0800,1430,0
325,SJIyDOjpUT5BSAfqW6D9uw,False,False,37,3.5,mexican,,,0,1,0,Low,3,Frisco,TX,75034,0730,1600,0
326,JHwMwZu4oU9L0gCGHJ4caA,True,False,104,4.5,mexican,,,1,1,0,Low,3,Frisco,TX,75034,0700,1600,0
327,GrTcRGrIPsPZ01wNfFXoTg,True,False,96,4.5,ramen,izakaya,,1,1,0,Medium,3,Frisco,TX,75034,1100,2100,0
328,YhDcm4mQbwJowuaj9ZWebA,True,False,77,3.0,pizza,beerbar,salad,1,1,0,Low,3,Frisco,TX,75034,1100,2100,1
329,cP9puqDInVekjyMyZ3S6Ew,True,False,103,3.0,burgers,tradamerican,hotdog,1,1,0,Medium,3,Frisco,TX,75034,1030,2100,0
330,_9OEYhv5CTbczJG9w9romw,False,False,170,3.5,tex-mex,mexican,,0,1,0,Medium,3,Frisco,TX,75034,1100,2100,0
331,03O8XMlMfBYx8sGx38U90Q,True,False,92,3.5,tacos,tex-mex,breakfast_brunch,1,1,0,,3,Frisco,TX,75034,0700,2030,0
332,k8SflrjlIUxSf1UxU3Dyxg,True,False,71,4.0,hotdogs,chickenshop,salad,0,1,0,Low,3,Frisco,TX,75034,0600,2100,1
333,GhZKg8l_CFZzU6y6pcIxUg,True,False,56,3.5,pizza,italian,,1,1,0,Low,3,Frisco,TX,75034,1100,2100,1
334,RURDenJmFqJO__G9Xg8cYw,True,False,51,1.5,hotdogs,burgers,,1,1,0,Low,3,Frisco,TX,75034,0600,2300,0
335,9ivZM3H6alDVj7i8FR2_Vw,True,False,53,2.5,hotdogs,burgers,icecream,0,0,0,Low,3,Frisco,TX,75034,1000,2200,0
336,tdawfJdlfIQC3Ov3s9A9nw,True,False,42,2.5,golf,bars,tradamerican,0,1,0,Medium,3,Frisco,TX,75034,0700,1900,0
337,pip9lYKzDTiY1v3eqm349g,True,False,10,1.5,fooddeliveryservices,burgers,chicken_wings,0,0,0,,3,Frisco,TX,75034,,,0
338,XIrYN0qGn5CrCsMlqCoQDA,True,False,18,2.5,fooddeliveryservices,burgers,,0,0,0,,3,Frisco,TX,75034,,,0
339,u1sW0RUhC0S5lJbb2lgRjA,True,False,9,1.0,fooddeliveryservices,pizza,,0,0,0,,3,Frisco,TX,75034,1100,2200,0
340,tcP5RGVhyLtwzgC1JUuXWw,True,False,1,1.0,southern,bbq,fooddeliveryservices,0,0,0,,3,Frisco,TX,75034,1130,2130,0
341,7EFw8CZZ1uha_P5jBTrftw,True,False,43,4.5,italian,,,0,0,0,,3,Frisco,TX,75034,,,0
342,Lz4Zxt6TavWZbnlB1GQz_Q,True,False,8,3.5,pakistani,halal,,0,0,0,,3,Frisco,TX,75034,1200,2200,0
343,XpyrGWMGtmTuucT-5LTy5Q,True,False,537,3.5,thai,,,1,0,0,Medium,3,Frisco,TX,75034,1100,2200,0
344,NzfzwOMbXstr8KgYtl230w,True,False,184,4.0,pizza,,,1,1,0,Low,3,Frisco,TX,75034,1000,2100,0
345,sytEJOWJJAJw72nRgBwraQ,True,False,23,3.0,hotdogs,mexican,,0,1,0,Low,3,Frisco,TX,75034,0800,0000,0
346,TXgYoFvA71_HPruOFZnxZw,True,False,36,3.5,indpak,,,1,1,0,Medium,3,Frisco,TX,75034,1600,2100,0
347,_UW1f_GiJomw1OUwXt_u9Q,True,False,57,1.5,hotdogs,chicken_wings,chickenshop,1,1,0,Low,3,Frisco,TX,75034,0900,2330,0
348,HcMaNZ_vhF61Fz2lROn91w,True,False,45,2.0,hotdogs,burgers,,0,1,0,Low,3,Frisco,TX,75034,1000,0100,1
349,48hHHbYYqaNR8w4-SMY8Sg,True,False,15,4.0,salad,breakfast_brunch,hotdogs,0,0,0,,3,Frisco,TX,75034,0630,2100,1
350,t0LQ_T1BTW95-xHpjL8tvw,True,False,93,3.0,chinese,thai,,1,1,0,Medium,3,Frisco,TX,75034,1100,2200,0
351,E3je_lQpn3Y4v704GM2xFg,True,False,51,2.0,hotdogs,burgers,icecream,1,1,0,Low,3,Frisco,TX,75034,0600,2300,1
352,adESuLvYNJSht2Bwt4xZyg,True,False,66,2.0,mexican,hotdogs,tex-mex,1,1,0,Low,3,Frisco,TX,75035,1030,0000,0
353,-L9dRulgOXC2VXObqr7yPw,True,False,43,4.0,sandwiches,hotdogs,delis,1,1,0,Low,3,Frisco,TX,75034,1000,2100,0
354,icbNjFkK_Knw4C7Rf2hJfw,True,False,45,3.0,bbq,tradamerican,chicken_wings,1,1,0,Medium,3,Frisco,TX,75034,1100,2100,0
355,-xr9y2UKvI54OxukPu4uIg,True,False,60,1.5,pizza,chicken_wings,hotdogs,1,1,0,Low,3,Frisco,TX,75034,0930,2200,0
356,Dm3BHOb67UyE8NYED-7ZMQ,False,False,117,4.0,mexican,,,1,1,0,Medium,3,Frisco,TX,75035,1630,2100,0
357,kQcCkh52NtJwReGbNVGV3Q,True,False,29,3.0,pizza,italian,,1,1,0,,3,Frisco,TX,75035,1100,2300,0
358,2V8rtOukZv28V-2O_UtknA,True,False,166,4.5,coffee,juicebars,vegan,1,1,0,Low,3,Frisco,TX,75035,0800,1900,1
359,UJgDfMWYR-HJEphrLcV9ng,True,False,41,2.0,pizza,chicken_wings,hotdogs,0,1,0,Low,3,Frisco,TX,75035,1100,2200,0
360,lFvJMCTC-bzdsc6U5Qc2Pw,True,False,34,3.5,juicebars,breakfast_brunch,sandwiches,1,1,0,,3,Mckinney,TX,75070,0700,2100,1
361,gxBSpboX3E4u_SWRUsqyHg,True,False,35,3.0,bars,seafood,newamerican,0,1,0,,3,Frisco,TX,75034,1100,2200,0
362,Gh0FFtOkDpnGdsTyn9YhBA,True,False,3,3.5,indpak,,,1,1,0,,3,Frisco,TX,75034,1600,2100,1
363,WpSUattkohegfbVk2rtGUw,True,False,55,3.5,mexican,,,1,1,0,Medium,3,Frisco,TX,75034,1300,2000,1
364,1Zeu64qc5h6JJAumt0_zxQ,True,False,119,4.0,pizza,italian,pastashops,1,1,0,Medium,3,Frisco,TX,75034,1100,2100,0
365,uZ6mBlUQAfSLhisJLIJmqw,True,False,63,4.5,cafes,,,0,0,0,Low,3,Frisco,TX,75034,0630,1700,1
366,cX4Zv5vEtsmIgHm6r90LgA,True,False,11,2.5,chicken_wings,pizza,hotdogs,0,0,0,,3,Frisco,TX,75034,1100,2200,0
367,3ZiOvwzcsN3eOm7glVxWpw,True,False,113,4.5,chinese,,,0,1,0,,3,Frisco,TX,75034,1130,2100,1
368,z6fMg9NIF57FDrNNrUmmaQ,True,False,5,4.0,mediterranean,halal,mideastern,1,1,0,,3,Frisco,TX,75034,1100,2200,1
369,h_lWIGnjyTFUSPsC6dE0sQ,False,False,27,4.0,bakeries,sandwiches,coffee,1,1,0,,3,Frisco,TX,75034,,,0
370,orsc-l0O4p17u0-E41moxg,True,False,22,4.5,cajun,meats,,0,0,0,,3,Frisco,TX,75034,0800,1800,1
371,pgLGHfb9SzwFE0Hb-VboJw,True,False,11,4.0,thai,bubbletea,juicebars,1,1,0,,3,Frisco,TX,75034,1100,2000,1
372,bSnPJidAIfQ-eRUOYIZUfQ,True,False,33,4.0,pizza,desserts,salad,0,1,0,,3,Frisco,TX,75034,1100,2100,1
373,7GYhTL_ZGsl3upw0duHMFQ,True,False,103,4.5,coffee,breakfast_brunch,sandwiches,0,1,0,Low,3,Frisco,TX,75034,0600,1800,0
374,AHLLMGWR9MObgzi8BwfmAw,True,False,14,2.0,sandwiches,,,1,1,0,,3,Frisco,TX,75034,0800,2100,0
375,GYDttSQAaK62Lr5_70G3ng,True,False,66,4.5,japanese,sushi,steak,1,0,0,,3,Frisco,TX,75034,1130,2130,1
376,-ptKXpBnXnb0_2q6-z3M7A,True,False,140,3.5,chinese,,,1,1,0,Low,3,Frisco,TX,75034,1030,2130,0
377,Wk7bGwKecyYwdh1e9JpIUg,True,False,21,3.0,african,,,1,1,0,,3,Frisco,TX,75034,1130,2100,0
378,rdTDtfC1T70Z4lBPP9NoJQ,True,False,97,4.0,breakfast_brunch,bakeries,coffee,1,1,0,Low,3,Frisco,TX,75034,0600,1400,0
379,kwRfq6G1qPBcBk8ZAsCjZw,True,False,40,3.5,pizza,chicken_wings,sandwiches,0,0,0,Low,3,Frisco,TX,75035,1030,0000,0
380,WHqKxIureuFBmZB5yCi-Mw,True,False,9,4.5,cakeshop,cafes,,0,0,0,Low,3,Frisco,TX,75035,0900,1900,1
381,P-a683VhuwDfkBQPBJfKng,True,False,5,3.5,desserts,pizza,sandwiches,1,1,0,,3,Frisco,TX,75035,1100,2100,1
382,e6U99SEwPfwT5FfooMIGhQ,True,False,39,4.0,indpak,,,1,1,0,Low,3,Frisco,TX,75035,1600,2100,1
383,7YhOw6OO1hUYArazkbkIZw,True,False,135,3.0,mexican,,,1,1,0,Medium,3,Frisco,TX,75035,1100,2100,0
384,xvTKsff8RJXJYs-XAFmMNg,True,False,110,2.5,bars,tex-mex,tradamerican,1,1,0,Medium,3,McKinney,TX,75070,1045,2200,0
385,W9-sc1-0TsV7kmkjdlSV5Q,True,False,62,2.0,chicken_wings,,,0,0,0,Medium,3,McKinney,TX,75070,1100,0000,0
386,9s700_ccLe7eWQ0wVcsiLw,True,False,165,2.0,mexican,hotdogs,,1,1,0,Low,3,Frisco,TX,75035,1045,2200,0
387,ANh7XGDzZU1WnYPaNbe5UQ,True,False,199,3.0,mexican,tex-mex,,1,1,0,Medium,3,McKinney,TX,75070,1100,2200,0
388,5HabLL3znKQq1oGZ-4H8Nw,True,False,105,3.5,hotdogs,chicken_wings,,0,1,0,Medium,3,Frisco,TX,75035,1000,2300,0
389,cRBuTJRNeBks6DsHw9Y0HQ,True,False,24,2.5,hotdogs,burgers,icecream,1,1,0,Low,3,Mckinney,TX,75070,0600,2300,1
