,id,is_claimed,is_closed,review_count,rating,Restaurant Category,Pickup Available,Delivery Available,Reservation Available,Price Level,number of photos,City,State,Opening Time,Closing Time,Has Messaging
90,e2EpqHxZ6dsUMjZIK7OT_A,True,False,423.0,4.0,mexican,0.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
91,h-hhipX24w_-y-ajnEn_tg,True,False,30.0,4.0,newamerican,0.0,1.0,0.0,Medium,3.0,Plano,TX,1100,1500,0
92,morcIlsmilBBgvn-AmF4QA,False,False,85.0,4.5,sushi,0.0,0.0,0.0,,3.0,Plano,TX,1100,1430,0
93,oDu1OHzWgHqsnMFK4c58Lg,True,False,174.0,4.0,steak,0.0,0.0,0.0,,3.0,Plano,TX,1100,2100,0
94,ZuKiKJfYvEbr3FMRdlAmFQ,True,False,634.0,3.5,italian,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2200,0
95,_Xnya-eOSm3KZUpcCDMpOA,True,False,382.0,4.0,steak,0.0,1.0,0.0,High,3.0,Plano,TX,1600,2100,0
96,dc3FbCOmFIY5UcS8cM-9fQ,True,False,603.0,3.5,seafood,0.0,1.0,0.0,Medium,3.0,Plano,TX,1100,0100,0
97,ye2THIwHyiFdS6XOiFMwTg,False,False,55.0,4.0,mediterranean,1.0,1.0,0.0,Low,3.0,Plano,TX,1000,2100,0
98,vZ1so7bCnI4jTRrDFdzTBw,True,False,216.0,3.5,chickenshop,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,1
99,FkqK3B6pgHmko4rfFtyLhQ,True,False,512.0,3.5,tex-mex,0.0,1.0,0.0,Low,3.0,Plano,TX,1000,2100,0
100,h5L7dv7TVntzpun0_OORkw,True,False,115.0,4.0,japanese,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
101,vNgfvO2O12TnrINOTSYd6Q,True,False,5.0,4.0,cafes,0.0,1.0,0.0,Low,3.0,Plano,TX,1000,1800,0
102,SRHFdaAFTyVetylUItORKQ,True,False,142.0,3.5,pizza,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2200,0
103,iEwITKfD0uj3moUMdVwuUQ,False,False,14.0,3.0,burgers,0.0,0.0,0.0,,3.0,Plano,TX,1000,0000,0
104,dALwaioc2UoEHCjrEgw55g,True,False,6.0,3.5,burgers,0.0,0.0,0.0,,3.0,Plano,TX,1100,2200,1
105,nbHIA89q1hNK_GgvMwU13A,False,False,1.0,5.0,chinese,0.0,1.0,0.0,,0.0,Plano,TX,,,0
106,_vex0Zf0XYOAK5nyIAzLFw,False,False,1.0,3.0,italian,0.0,0.0,0.0,,1.0,Plano,TX,,,0
107,x72bDS9k3hZzdXFCFeydog,True,False,78.0,3.5,hotdogs,0.0,1.0,0.0,Low,3.0,Plano,TX,0600,2200,1
108,LVmSPlzD6N6L5h9v83wbPg,True,False,392.0,4.5,asianfusion,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
109,vj3D4Ome1btz9wR7blpyXA,True,False,27.0,4.5,indpak,0.0,1.0,0.0,,3.0,Plano,TX,1130,1500,0
110,sMkb50MvBs54vDU_ILFzKQ,False,False,3.0,3.5,sportsbars,0.0,0.0,0.0,,3.0,Plano,TX,,,0
111,yWZjuXaBGMgQ07O5JYBujw,True,False,353.0,4.0,vietnamese,1.0,0.0,0.0,Medium,3.0,Plano,TX,1030,2130,0
112,HECNSkXQDQuYiK_g2nHkOg,True,False,102.0,3.5,breakfast_brunch,1.0,1.0,0.0,Medium,3.0,Plano,TX,1000,2100,0
113,DL43Reau1p5znnk7E7Yh6g,True,False,86.0,4.0,pizza,0.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
114,mCzM9_Yyy4dArjkz6h7wnQ,True,False,3.0,4.5,sushi,1.0,1.0,0.0,,3.0,Plano,TX,0800,2100,1
115,-AKnYeuzzOETLfQuaDEohQ,True,False,254.0,3.5,salad,0.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
116,-Ry5Pa2kklDaWlykDUjEnQ,True,False,48.0,4.0,hotdogs,1.0,1.0,0.0,Low,3.0,Plano,TX,1000,2100,0
117,L1RDhuqCNVujRna1FQnQDw,True,False,10.0,3.5,juicebars,0.0,1.0,0.0,,3.0,Allen,TX,0800,1830,1
118,Qs0Pn62lbfPDSrf_FFKztQ,False,False,4.0,2.0,fooddeliveryservices,0.0,1.0,0.0,,3.0,Plano,TX,1100,2200,0
119,JUwTUeQ21mT1rYxeLu0b6Q,True,False,86.0,4.5,newamerican,1.0,1.0,0.0,Medium,3.0,Plano,TX,0900,2100,1
120,4lEROouDvxLjYPGj4GVdwg,True,False,83.0,4.5,hawaiian,0.0,0.0,0.0,,3.0,Plano,TX,1030,2200,0
121,YNmTF9AsfX4hSVegaYztSw,True,False,190.0,4.5,salad,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
122,8J6BWhJeU-OgnVyrF2hrkA,True,False,36.0,3.5,wine_bars,0.0,0.0,0.0,,3.0,Plano,TX,1600,2200,1
123,ROx3jM5QiFrKYadFt7B39A,True,False,67.0,4.0,steak,0.0,1.0,0.0,High,3.0,Plano,TX,1600,2100,1
124,UpMExgQd0nzvWNtAxWmBKg,True,False,192.0,3.5,bars,0.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2200,0
125,8uSZK8K_ucmFMmIQAIXOJQ,True,False,133.0,4.0,tacos,1.0,1.0,0.0,Low,3.0,Plano,TX,1100,2300,1
126,Y5KnYuh2dFc5wso41RPu3A,True,False,427.0,4.0,hawaiian,1.0,1.0,0.0,Medium,3.0,Plano,TX,1030,2100,0
127,IhfB4LFR0lvNmOmGtZ-Y7w,True,False,109.0,4.0,mexican,0.0,1.0,0.0,Low,3.0,Plano,TX,0700,2100,0
128,zCbgXBxEDGPRIQT_vk8xUg,True,False,18.0,4.0,chickenshop,1.0,1.0,0.0,,3.0,Plano,TX,1100,2300,0
129,DRHNyTuZSPHRGyRaCXL2Eg,True,False,183.0,2.5,tradamerican,1.0,1.0,1.0,Medium,3.0,Plano,TX,1100,0000,1
130,KuMicmgpK1SX-Pp0y33hjg,False,False,11.0,4.5,pizza,1.0,1.0,0.0,,3.0,Plano,TX,,,0
131,C9m8_RU9J24Jz8l1m7JCRg,True,False,22.0,3.0,tradamerican,1.0,1.0,0.0,Medium,3.0,Orlando,FL,1100,2200,0
132,bl2Ko9e6XTw0ZtQL-fQdbA,True,False,95.0,3.0,bakeries,1.0,1.0,0.0,Low,3.0,Plano,TX,0700,2100,1
133,cVf8ZhIkucVtgU2Iise1Yw,False,False,8.0,2.5,tradamerican,1.0,1.0,0.0,,3.0,Plano,TX,1045,2300,0
134,tQZcdsEdveL-Wfngid1I-Q,True,False,6.0,2.5,newamerican,0.0,0.0,0.0,,2.0,Plano,TX,1100,0000,1
135,V8qNDX6VVv8VCpDmss1plw,True,False,1.0,5.0,delis,0.0,0.0,0.0,,3.0,Plano,TX,0630,1600,1
136,eUlrn0fKQUqb3e6jVw3k7g,True,False,61.0,3.0,comfortfood,1.0,1.0,0.0,Low,3.0,Plano,TX,1030,2200,0
137,7Ow42ADf3k4bmaRCJPteSQ,True,False,169.0,3.0,bakeries,1.0,1.0,0.0,Low,3.0,Plano,TX,0700,2200,0
138,H4JFU7KjGwNTJK02lUXuIQ,True,False,130.0,3.0,tradamerican,0.0,1.0,0.0,Low,3.0,Plano,TX,1100,2000,0
139,07OCu1Ebgfs5Q12o_4GtJg,True,False,110.0,3.0,mexican,1.0,1.0,0.0,Low,3.0,Plano,TX,1045,2200,0
140,fIM1F5mVX2zyPhoWXqtURA,True,False,164.0,2.5,sandwiches,1.0,1.0,0.0,Low,3.0,Plano,TX,0600,2200,0
141,Pe8eeHGg5lPKT-Hxni6Vuw,True,False,62.0,3.5,sandwiches,1.0,1.0,0.0,Low,3.0,Plano,TX,0700,2100,0
142,i6TJfcakjcZTcWLCUa3z2g,True,False,37.0,2.0,hotdogs,0.0,1.0,0.0,Low,3.0,Plano,TX,0500,0000,0
143,VA7eZVfA4dcEcHL0S51PkA,True,False,89.0,2.5,hotdogs,0.0,1.0,0.0,Low,3.0,Plano,TX,0600,2200,0
144,Etw4vD0Rv_cfa8u33eKQCg,True,False,59.0,3.0,pizza,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,0
145,LlOKoidIuX4JcXAcnPHqqQ,True,False,89.0,5.0,seafood,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2100,1
146,DrTwJfNf7MX2y1Hr1ZkHqw,True,False,375.0,4.5,mexican,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2200,0
147,ZNN6fD-ROSV7bTYPDzO71Q,True,False,581.0,4.0,pizza,0.0,1.0,1.0,Medium,3.0,Plano,TX,1100,2100,0
148,XSaI1tYQqZjCqzb_WXS4_A,True,False,550.0,3.5,bbq,0.0,1.0,0.0,Medium,3.0,Plano,TX,1100,0200,1
149,ExbeJO8Y2RjcCpOe8R_6oA,True,False,358.0,4.0,pizza,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2200,1
150,D7zI_5bzMOSNPOVFBCBXkQ,True,False,43.0,4.0,korean,1.0,1.0,0.0,,3.0,Plano,TX,1100,2030,1
151,6gugjvMpQSCoi4w1M7p3zQ,True,False,202.0,4.0,japanese,1.0,1.0,0.0,Medium,3.0,Plano,TX,1130,1430,0
152,WnBZy8Fyw2-0dTBU8LVotw,True,False,417.0,3.5,chinese,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,1430,0
153,3dfp7aow6kYa8DOSxg1CcQ,True,False,325.0,4.0,thai,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2200,0
154,JkqAguL4Wn72H0rU1XB8HA,True,False,319.0,3.5,tex-mex,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,2230,1
155,omeBl-8fBYxSoZR4Rb_qzg,True,False,556.0,2.5,movietheaters,1.0,1.0,0.0,Medium,3.0,Plano,TX,1200,0130,0
156,wJDSG4eFP9MeXoE0zaw6Ww,True,False,56.0,4.0,icecream,1.0,1.0,0.0,Low,3.0,Plano,TX,1200,2100,0
157,ZiTfZMyPUToM-Co_5hIcyg,True,False,17.0,2.0,pizza,1.0,1.0,0.0,Low,3.0,Plano,TX,1030,2200,0
158,tt6gmnFRBb8L_VifPWHfDQ,True,False,133.0,4.0,chinese,0.0,1.0,0.0,Medium,3.0,Plano,TX,1030,2200,0
159,f0ZL0WQj0sKwMDHeqUug6w,True,False,84.0,4.5,breakfast_brunch,1.0,1.0,0.0,Medium,3.0,Plano,TX,0930,2030,1
160,vnu-YtmdClG_teWgSMFAyg,True,False,275.0,4.0,malaysian,1.0,1.0,0.0,Medium,3.0,Plano,TX,1100,1430,0
161,15-1Nvz900Dbz0Ijp0uXhA,True,False,51.0,4.5,chinese,1.0,1.0,0.0,Medium,3.0,Plano,TX,1200,0000,0
162,cuPqfAVXi9AB5YLs-u0V3Q,True,False,41.0,4.0,chinese,1.0,1.0,0.0,,3.0,Plano,TX,1100,2000,1
163,CKx1q_saAgIKeN-xAmQC_A,False,False,53.0,4.0,taiwanese,0.0,1.0,0.0,Low,3.0,Plano,TX,0730,1630,0
164,bKLDCengwidxAwl7yv2BfA,True,False,148.0,4.5,asianfusion,1.0,1.0,0.0,Low,3.0,Plano,TX,1130,1530,1
165,eJvFv7ofgabwIz5w2C6P4g,True,False,55.0,4.0,szechuan,0.0,1.0,0.0,,3.0,Plano,TX,1100,2200,1
166,A6SoYMqhd6q3E0Rdltqr_g,True,False,48.0,3.5,chinese,0.0,1.0,0.0,Medium,3.0,Plano,TX,1130,1500,1
167,s-aRwLfNhSxbGJ6V_L-sDA,True,False,40.0,4.0,conveyorsushi,1.0,1.0,0.0,,3.0,Plano,TX,1130,2200,0
168,LCj_r0qlFF3Jce02VoQEUw,False,False,363.0,4.0,szechuan,1.0,1.0,0.0,Low,3.0,Plano,TX,1100,2200,0
169,2KmoNWZX007oSZObAY4pPQ,True,False,85.0,4.0,korean,1.0,1.0,0.0,Medium,3.0,Plano,TX,1130,2200,0
170,U0FCz6aqnfROVtEhGtj2Bg,True,False,206.0,3.5,chinese,0.0,1.0,0.0,Low,3.0,Plano,TX,1100,1700,0
171,D5isujP86BEB8YvDhjJgXw,True,False,9.0,4.0,shanghainese,0.0,0.0,0.0,,3.0,Plano,TX,1100,2030,1
172,y1ZZCtaIxeJZbKof7itHHQ,True,False,439.0,4.0,ramen,1.0,1.0,0.0,Medium,3.0,Plano,TX,1700,2200,0
173,bZ4XQO7ZQb3OpvRh5xFaRQ,True,False,404.0,4.0,bakeries,1.0,1.0,0.0,Low,3.0,Plano,TX,0900,0000,0
174,yaGfjTpGFd0u1Po-Nf-wow,False,False,10.0,4.0,chinese,0.0,0.0,0.0,,3.0,Plano,TX,,,0
175,oOjtjOyVGp_X1wuP6puVzw,False,False,6.0,3.5,chinese,0.0,0.0,0.0,,3.0,Plano,TX,,,0
176,KGlhFFk4C_hXhrCQS3IyUg,True,False,183.0,3.5,indpak,1.0,1.0,0.0,Low,3.0,Plano,TX,1100,2200,0
177,xg8rphGgXldnuV8hWuEZIQ,True,False,34.0,3.0,chinese,0.0,1.0,0.0,Medium,3.0,Plano,TX,1130,2230,0
178,AKp1HbCqrJAJCJfRqdTeZw,True,False,31.0,3.0,shanghainese,0.0,1.0,0.0,,3.0,Plano,TX,1000,1400,0
179,1yEhrJQfEPOD0DdezmhdpQ,True,False,279.0,3.5,desserts,1.0,1.0,0.0,Low,3.0,Plano,TX,1200,2130,1
