Y,X,id,Unnamed: 3,0,1
3883420.82701148,-10767061.5201113,991,,-96.72215928571148,32.9104281677555
3883420.82701148,-10766061.5201113,992,,-96.7131761328703,32.9104281677555
3883420.82701148,-10765061.5201113,993,,-96.70419298002909,32.9104281677555
3883420.82701148,-10764061.5201113,994,,-96.6952098271879,32.9104281677555
3883420.82701148,-10763061.5201113,995,,-96.6862266743467,32.9104281677555
3883420.82701148,-10762061.5201113,996,,-96.6772435215055,32.9104281677555
3883420.82701148,-10761061.5201113,997,,-96.6682603686643,32.9104281677555
3883420.82701148,-10760061.5201113,998,,-96.65927721582312,32.9104281677555
3883420.82701148,-10759061.5201113,999,,-96.65029406298193,32.9104281677555
3883420.82701148,-10758061.5201113,1000,,-96.64131091014073,32.9104281677555
3883420.82701148,-10757061.5201113,1001,,-96.63232775729954,32.9104281677555
3883420.82701148,-10756061.5201113,1002,,-96.62334460445834,32.9104281677555
3883420.82701148,-10755061.5201113,1003,,-96.61436145161714,32.9104281677555
3883420.82701148,-10754061.5201113,1004,,-96.60537829877595,32.9104281677555
3883420.82701148,-10753061.5201113,1005,,-96.59639514593475,32.9104281677555
3883420.82701148,-10752061.5201113,1006,,-96.58741199309355,32.9104281677555
3883420.82701148,-10751061.5201113,1007,,-96.57842884025236,32.9104281677555
3883420.82701148,-10750061.5201113,1008,,-96.56944568741116,32.9104281677555
3883420.82701148,-10749061.5201113,1009,,-96.56046253456996,32.9104281677555
3883420.82701148,-10748061.5201113,1010,,-96.55147938172878,32.9104281677555
3883420.82701148,-10747061.5201113,1011,,-96.54249622888759,32.9104281677555
3883420.82701148,-10746061.5201113,1012,,-96.53351307604639,32.9104281677555
3883420.82701148,-10745061.5201113,1013,,-96.5245299232052,32.9104281677555
3883420.82701148,-10744061.5201113,1014,,-96.515546770364,32.9104281677555
3883420.82701148,-10743061.5201113,1015,,-96.5065636175228,32.9104281677555
3883420.82701148,-10742061.5201113,1016,,-96.4975804646816,32.9104281677555
3883420.82701148,-10741061.5201113,1017,,-96.48859731184041,32.9104281677555
3883420.82701148,-10740061.5201113,1018,,-96.47961415899921,32.9104281677555
3883420.82701148,-10739061.5201113,1019,,-96.47063100615802,32.9104281677555
3882420.82701148,-10798061.5201113,1020,,-97.00063702378854,32.90288630118771
3882420.82701148,-10797061.5201113,1021,,-96.99165387094733,32.90288630118771
3882420.82701148,-10796061.5201113,1022,,-96.98267071810614,32.90288630118771
3882420.82701148,-10795061.5201113,1023,,-96.97368756526495,32.90288630118771
3882420.82701148,-10794061.5201113,1024,,-96.96470441242376,32.90288630118771
3882420.82701148,-10793061.5201113,1025,,-96.95572125958256,32.90288630118771
3882420.82701148,-10792061.5201113,1026,,-96.94673810674136,32.90288630118771
3882420.82701148,-10791061.5201113,1027,,-96.93775495390017,32.90288630118771
3882420.82701148,-10790061.5201113,1028,,-96.92877180105897,32.90288630118771
3882420.82701148,-10789061.5201113,1029,,-96.91978864821779,32.90288630118771
3882420.82701148,-10788061.5201113,1030,,-96.9108054953766,32.90288630118771
3882420.82701148,-10787061.5201113,1031,,-96.9018223425354,32.90288630118771
3882420.82701148,-10786061.5201113,1032,,-96.89283918969419,32.90288630118771
3882420.82701148,-10785061.5201113,1033,,-96.88385603685299,32.90288630118771
3882420.82701148,-10784061.5201113,1034,,-96.8748728840118,32.90288630118771
3882420.82701148,-10783061.5201113,1035,,-96.86588973117061,32.90288630118771
3882420.82701148,-10782061.5201113,1036,,-96.85690657832941,32.90288630118771
3882420.82701148,-10781061.5201113,1037,,-96.84792342548822,32.90288630118771
3882420.82701148,-10780061.5201113,1038,,-96.83894027264702,32.90288630118771
3882420.82701148,-10779061.5201113,1039,,-96.82995711980583,32.90288630118771
3882420.82701148,-10778061.5201113,1040,,-96.82097396696464,32.90288630118771
3882420.82701148,-10777061.5201113,1041,,-96.81199081412345,32.90288630118771
3882420.82701148,-10776061.5201113,1042,,-96.80300766128224,32.90288630118771
3882420.82701148,-10775061.5201113,1043,,-96.79402450844104,32.90288630118771
3882420.82701148,-10774061.5201113,1044,,-96.78504135559984,32.90288630118771
3882420.82701148,-10773061.5201113,1045,,-96.77605820275865,32.90288630118771
3882420.82701148,-10772061.5201113,1046,,-96.76707504991747,32.90288630118771
3882420.82701148,-10771061.5201113,1047,,-96.75809189707627,32.90288630118771
